Job_ID,Date,Company Name,Job_Title,Location,Description,Link
1,10/12/2021,POOLAPACK,Frontend Developer,"Bandung, West Java, Indonesia","Bachelor's degree in in Computer Science / Information Technology or equivalent Min 1 year experience as a Front-end developer Strong in HTML, CSS, Javascript and/or library such as jQuery Having experience with PHP Good understanding of CSS framework Good understanding of responsive design and cross browser/cross device design Familiarity with containerize concept (Docker) Good knowledge of RESTful API Have good sense of design, fast learner, teamwork and analytical skills Responsible and honest",https://id.linkedin.com/jobs/view/frontend-developer-at-poolapack-2746678344?refId=R%2BpQHzevAcnq1wTt5HZ9Rg%3D%3D&trackingId=PCsJgoX3J%2FJxO7I%2Bw0Tlow%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
2,10/30/2021,True Digital Group ,Web Developer ,"Bangkok, Bangkok City, Thailand","Responsibilities Complete assign tasks such as coding / poc / unit test / review code / guide junior team member Analysis and fix issue & defect per assignment Explain or walkthuough the code related assignment Control code quality and code structure Standup meeting (online, whiteboard). Work in team process (scrum) Qualifications : Bachelors degree in Computer Science, Information Technology, or a similar field. Previous experience working as a React.js Developer (5++ years) Good knowledge of JavaScript, CSS, HTML and front-end languages. Knowledge of React tools including React.js, Redux Experience with browser-based debugging and performance testing software. Good troubleshooting skills. Can work as team. Can work under pressure. Be able to learning and adopt new thing to improve productivity. Knowledge of call rest api (must) Knowledge of JWT (must). Knowledge of firebase, FCM, push kit (must). Knowledge of Websocket (must). Knowledge of WebRTC (must). Knowledde of figma (must). Happy to maintain and add new features to existing product. Experience in developing React applications ",https://th.linkedin.com/jobs/view/web-developer-at-true-digital-group-2746189372?refId=DU9HqOhvxCf9nT%2F8%2B1CFVg%3D%3D&trackingId=Y2Bc5eBlIeQTB5iY8FcVcA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
3,12/27/2021,Avows Technologies ,Full Stack Engineer ,Jakarta Metropolitan Area Hybrid,Diploma / Bachelor Graduates from Computer Science Study Programs. Minimum 2 years experience works as a developer. Accustomed to using Java Springboot. NET or RACT technology. Familiar with Web Service / Fire and Git in Deployment Implementation. Experienced using the Agile / Scrum method in the application of Project Development. Oriented Details. Confident using English (Speaking) is an added value. ,https://linkedin.com/jobs/view/2852533212/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=DVo8IQwVcBVhvNwBtm9ekg%3D%3D&trk=flagship3_search_srp_jobs
4,12/27/2021,Majapahit. ,Back End Developer (Laravel) ,"Jakarta Timur, Jakarta, Indonesia On-site","Posted by  Aulia Satrio Wibowo  Learner  Send InMail  Hello Good People!  PT Majapahit Teknologi Nusantara is looking for Back End Developer (Laravel), on-site full-time in Jakarta Timur.     Responsibilities  - Integration of user-facing elements developed by front-end developers with server-side logic  - Write clean, well-designed codes, using MVC/MVP/MVVM, etc and design patterns  - Implementation of security and data protection  - Troubleshoot and solve various website issues and coding problems  - Build reusable code and libraries for future use  - Continuously improve your programming skills     Requirements  - 1 year of experience as a Back-end Developer (Laravel)  - Strong Knowledge of Laravel framework, Blade Templating, and its core features.  - Understanding accessibility and security compliance.  - Familiarity with RESTful APIs.  - User authentication and authorization between multiple systems, servers, and environments.  - Understanding fundamental design principles behind a scalable application.  - Creating database schemas that represent and support business processes.  - Proficiency in code versioning tools such as Git.  - Detail-oriented, analytical, and love solving problems.  - Ability to work in a fast-paced environment.     For more information about our company, please visit our website at https://majapahit.id     If you have any questions about this job, kindly send me a message at +62 889 7583 2428 (Satrio). ",https://linkedin.com/jobs/view/2852536446/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=eCv76MmVEwkgWozwMdym0A%3D%3D&trk=flagship3_search_srp_jobs
5,12/27/2021,Talent Hunts Indonesia ,Full Stack Engineer ,"Bandung, West Java, Indonesia On-site","Posted by  Dwi Septiana  Researcher at Talent Hunts Indonesia  Send InMail  We are looking for a Fullstack Developer     Job descriptions:  Participate in code review Provide input to work estimates for use in project planning activities Hands-on experience in following the iterative and Agile SDLC or SCRUM methodology     Job requirements:  Has a working knowledge of information security requirements and implementations Have analytical and problem-solving skills Excellent communication and written skills Experience with authorization and authentication standards and protocols (OAuth2, bearer token) Tools â€“ JIRA, Git, NPM 2 years of experience in both non-cloud and cloud environments Have knowledge on cloud server (GCP, AWS, Ali cloud) is a plus     Full Stack engineers - Mandatory Skills  Knowledge in automation of deployment using technologies of JIRA, versioning (GIT or SVN) Good knowledge of Unix/Linux based systems and shell scripting Knowledge of RDBMS/ NoSQL database 2+ years experience working in typescript (express or/and vue js) or PHP laravel ",https://linkedin.com/jobs/view/2852531743/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=oOeRk7DVfrJjoIprrOCzIg%3D%3D&trk=flagship3_search_srp_jobs
6,12/27/2021,tongs ,Frontend Developer ,Indonesia Remote,"Posted by  Henry William Winata  Game Developer, ICT Infrastructure System Designer & Integrator, Competition Integrator  Send Inmail  The ideal candidate will be responsible for designing, developing, testing, and debugging responsive web and cellular applications for companies. By using Native React, REACT Query, MySQL, PostgreSQL, and Real Time Database (Firebase / Dynamodb), this candidate will be able to translate the needs of users and businesses into functional frontend designs. Responsibility - Designing, developing and testing UI for cellular and web applications Build the code and library that can be reused for future use Translate user and business requirements accurately into the functional frontend code     Qualification     Bachelor's degree or equivalent in Computer Science (Computer Science) Minimum 3 years experience in developing frontend wear react native, REACT Query, MySQL, PostgreSQL, Real Time Database (Firebase / Dynamodb) Familiarity using the Git / Scrum / Agile development methodology Experience building object-oriented web applications in Javascript, HTML5, and CSS3 Accustomed to code base / clean architectural framework (clean architecture codebase / framework) and integration to fire backend ",https://linkedin.com/jobs/view/2852536289/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=TqMYaIzNJ8PQJYjOl0c33g%3D%3D&trk=flagship3_search_srp_jobs
7,12/27/2021,PT. Geek Portal Indonesia ,Frontend Developer ,Indonesia Remote,"Posted by  Hasna Halimah  Recruiter at Geek Portal  Send InMail Skills and tech stacks needed to excel for this position 1. Highly proficient with the JavaScript language and its modern ES6+ syntax and features 2. Highly proficient with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM 3. Familiarity with the Vue.js ecosystem, including Vue CLI, Vuex, Vue Router, and Nuxt.js Good understanding of HTML5 and CSS3 4. Understanding of server-side rendering and its benefits and use cases 5. Knowledge of functional programming and object-oriented programming paradigms 6. Ability to write efficient, secure, well-documented, and clean JavaScript code 7. Familiarity with automated JavaScript testing, specifically testing frameworks such as Jest or Mocha 8. Proficiency with modern development tools, like Babel, Webpack, and Git her things you need to know 1. Minimum 3 years of experience working as a Frontend developer 2. At least 1 years of experience working with Vue.Js technology ",https://linkedin.com/jobs/view/2852537083/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=FBt24gd6Fqk8Ebw3p4Zo8g%3D%3D&trk=flagship3_search_srp_jobs
8,12/27/2021,Assessed ,Frontend Developer ,"Surabaya, East Java, Indonesia On-site","Posted by  DHIMAS BAYU A. P.  Talent Acquisition | Digital Marketing | Growth Mindset  Send InMail  Responsibilities :  Develop new user-facing features Build reusable code and libraries for future use Ensure the technical feasibility of UI/UX designs Optimize application for maximum speed and scalability Assure that all user input is validated before submitting to back-end Collaborate with other team members and stakeholders     Requirements :  Good understanding at HTML 5 and CSS 3 Good Understanding at Javascript (Node JS, Vue JS, React JS, Typescript) Good understanding Vue Js with framework Nuxt Point plus understanding at React Eager to learn     Salary: IDR 5.000.000 - 10.000.000 ",https://linkedin.com/jobs/view/2852527979/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=DirhRcjjvXan1qSiynBvHw%3D%3D&trk=flagship3_search_srp_jobs
9,12/27/2021,PT. Nusa Aksara Technology ,Full Stack Web Developer ,Greater Medan On-site,"Responsibilities  - Maintain existing websites and accommodate minor/major changes  - Design and develop new websites/web apps  - Create documentation for each web development project  - Web Front-end and Back-end     Requirements  - Responsible and honest  - Able to work independently  - Min 1 year of experience is preferred  - Able to communicate even in passive English     Skills Needed  - HTML, CSS and JavaScript  - PHP  - SQL (MySQL, Postgre)  - XAMPP/LAMP  - Experience in using Unix/Linux system (preferred)  - Experience in using Web Hosting and VPS system (preferred)  - Having the ability to learn new technologies  - Knowing Front-end Framework is a plus  - Knowing Back-end Framework is a plus ",https://linkedin.com/jobs/view/2852541117/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=czRT1%2FIRRIIr8cqXPTg%2FgA%3D%3D&trk=flagship3_search_srp_jobs
10,12/27/2021,Ginee - Global Intelligence and E-commerce Engine ,Frontend Developer ,"Jakarta, Indonesia Hybrid","Posted by  Lazuardy Prawiratma  Talent Acquisition at Ginee - Global Intelligence and E-commerce Engine  Send InMail  ABOUT GINEE     Launched in late 2019, Ginee is one of Asia's leading e-commerce merchant services platforms. We provide omnichannel order, warehousing, supply chain, and distribution management solutions for retailers, distributors, and suppliers. Our digital marketing arm also provides big data, multi-channel advertising, and performance marketing solutions for brands and enterprise customers.     Today, more than 70,000 merchants use Ginee to do e-commerce. Our platform has served over 58 million active consumers and has processed a total GMV of over USD 1.3 billion dollars. Currently active in Singapore, Indonesia, Philippines, and mainland China, we are rapidly expanding operations across SEA and Greater China.     As part of the Advance Intelligence Group, an Al-driven technology company with over 1500+ employees in 12 markets worldwide, we are united by a shared vision and purpose: to Advance with Intelligence for a Better Life--for our customers, colleagues and communities.     Our culture is built on values that are core to who we are and what we stand for:  We foster an INNOVATION mindset We achieve results with EFFICIENCY and excellence We take pride in the QUALITY of our work We uphold INTEGRITY in all we do We embrace COLLABORATION to work across business lines and        Responsibilities  Designing, developing, and testing UI for mobile and web applications Build reusable code and libraries for future use Accurately translate user and business needs into functional frontend code Responsible for understanding project briefs and converting that into appealing, highly usable interfaces Work with the product team to seek a deeper appreciation of our problem/goals through usability tests Develop an understanding of the end users of the web application or mobile application through secondary and primary research (user interviews, traffic data) Capable of generating user personas and user scenarios Prepare prototypes of site/features, storyboards, wireframes, and user flows for internal review and brainstorming     ABOUT THE ROLE     as Ginee's Frontend Engineer, you will be responsible for designing, developing, testing, and debugging responsive web and mobile applications for the company. Using JavaScript, HTML, and CSS. You will need to translate user and business needs into functional frontend design.     Responsibilities  Designing, developing, and testing UI for mobile and web applications Build reusable code and libraries for future use Accurately translate user and business needs into functional frontend code Responsible for understanding project brief and converting that into appealing, highly usable interfaces Work with the product team to seek deeper appreciation of our problem/goals through usability tests Develop understanding of the end users of the web application or mobile application through secondary and primary research (user interviews, traffic data) Capable of generating user personas and user scenarios Prepare prototypes of site/features, storyboards, wireframes, and user flows for internal review and brainstorming     Qualifications  Bachelor's degree or equivalent in Computer Science 4+ years experience in frontend development Familiarity using Scrum/Agile development methodologies Experience building object-oriented web applications in JavaScript, HTML5, and CSS3 Proficiency in Photoshop, Illustrator, or other visual design and wireframing tools Strong applied skills for design tools related to creating mobile and web application interfaces, e.g., Sketch, Photoshop, Illustrator, etc Understanding of HTML and CSS in accordance with building SEO-friendly and responsive web applications Have good interpersonal and communication skills     Benefits  Competitive salary Located in the heart of Jakarta Opportunity to collaborate with hundreds of professionals across South East Asia Merit based increment and career progression based on quarterly performance review Competitive monthly commission scheme based on target achievement ",https://linkedin.com/jobs/view/2852532107/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=gdQyouvk1Hi3BPDkDZYraw%3D%3D&trackingId=s90pNvlHLZ%2F4W2M%2FP%2BwKIg%3D%3D&trk=flagship3_search_srp_jobs
